      [(0, 0): R=000, G=000, B=000
       (70, 8): R=000, G=000, B=000
       (71, 8): R=000, G=000, B=000
       (72, 8): R=000, G=000, B=000
       (73, 8): R=000, G=000, B=000
       (74, 8): R=254, G=254, B=254
       (75, 8): R=000, G=000, B=000
       (76, 8): R=000, G=000, B=000
       (77, 8): R=000, G=000, B=000
       (78, 8): R=000, G=000, B=000
       (79, 8): R=224, G=224, B=224
       (80, 8): R=185, G=185, B=185
       (81, 8): R=000, G=000, B=000
       (82, 8): R=000, G=000, B=000
       (0, 9): R=000, G=000, B=000
       (1, 9): R=254, G=254, B=254
       (2, 9): R=186, G=186, B=186
       (3, 9): R=223, G=223, B=223
       (4, 9): R=000, G=000, B=000
       (5, 9): R=000, G=000, B=000
       (6, 9): R=000, G=000, B=000
       (7, 9): R=000, G=000, B=000
       (8, 9): R=000, G=000, B=000
       (9, 9): R=000, G=000, B=000
       (10, 9): R=000, G=000, B=000
       (11, 9): R=000, G=000, B=000
       (12, 9): R=000, G=000, B=000
       (13, 9): R=000, G=000, B=000
       (14, 9): R=000, G=000, B=000
       (15, 9): R=000, G=000, B=253
       (16, 9): R=000, G=000, B=250
       (17, 9): R=000, G=000, B=250
       (18, 9): R=000, G=254, B=253
       (19, 9): R=000, G=254, B=000
       (20, 9): R=251, G=000, B=000
       (21, 9): R=251, G=000, B=000
       (22, 9): R=000, G=254, B=000
       (23, 9): R=000, G=254, B=000
       (24, 9): R=000, G=253, B=000
       (25, 9): R=000, G=252, B=000
       (26, 9): R=000, G=254, B=000
       (27, 9): R=000, G=253, B=254
       (28, 9): R=253, G=000, B=252
       (29, 9): R=000, G=000, B=253
       (30, 9): R=000, G=253, B=251
       (31, 9): R=000, G=246, B=244
       (32, 9): R=000, G=241, B=235
       (33, 9): R=000, G=203, B=197
       (34, 9): R=214, G=102, B=101
       (35, 9): R=172, G=26, B=26
       (36, 9): R=196, G=20, B=20
       (37, 9): R=213, G=20, B=13
       (38, 9): R=230, G=27, B=13
       (39, 9): R=233, G=22, B=3
       (40, 9): R=241, G=22, B=2
       (41, 9): R=247, G=20, B=3
       (42, 9): R=250, G=14, B=1
       (43, 9): R=250, G=17, B=10
       (44, 9): R=243, G=26, B=19
       (45, 9): R=220, G=23, B=15
       (46, 9): R=192, G=20, B=8
       (47, 9): R=172, G=29, B=15
       (48, 9): R=184, G=67, B=57
       (49, 9): R=000, G=172, B=163
       (50, 9): R=000, G=235, B=224
       (51, 9): R=000, G=247, B=239
       (52, 9): R=000, G=249, B=246
       (53, 9): R=000, G=252, B=249
       (54, 9): R=000, G=000, B=251
       (55, 9): R=000, G=000, B=253
       (56, 9): R=000, G=251, B=250
       (57, 9): R=000, G=000, B=000
       (58, 9): R=249, G=000, B=000
       (59, 9): R=248, G=000, B=000
       (60, 9): R=252, G=000, B=000
       (61, 9): R=249, G=253, B=252
       (62, 9): R=250, G=000, B=251
       (63, 9): R=252, G=000, B=253
       (64, 9): R=254, G=000, B=000
       (65, 9): R=000, G=000, B=000
       (66, 9): R=000, G=000, B=000
       (67, 9): R=000, G=000, B=000
       (68, 9): R=000, G=000, B=000
       (69, 9): R=000, G=000, B=000
       (70, 9): R=000, G=000, B=000
       (71, 9): R=000, G=000, B=000
       (72, 9): R=000, G=000, B=000
       (73, 9): R=000, G=000, B=000
       (74, 9): R=254, G=254, B=254
       (75, 9): R=000, G=000, B=000
       (76, 9): R=000, G=000, B=000
       (77, 9): R=000, G=000, B=000
       (78, 9): R=000, G=000, B=000
       (79, 9): R=224, G=224, B=224
       (80, 9): R=185, G=185, B=185
       (81, 9): R=000, G=000, B=000
       (82, 9): R=000, G=000, B=000
       (0, 10): R=000, G=000, B=000
       (1, 10): R=254, G=254, B=254
       (2, 10): R=186, G=186, B=186
       (3, 10): R=223, G=223, B=223
       (4, 10): R=000, G=000, B=000
       (5, 10): R=000, G=000, B=000
       (6, 10): R=000, G=000, B=000
       (7, 10): R=000, G=000, B=000
       (8, 10): R=000, G=000, B=000
       (9, 10): R=000, G=000, B=000
       (10, 10): R=000, G=000, B=000
       (11, 10): R=000, G=000, B=000
       (12, 10): R=000, G=000, B=000
       (13, 10): R=000, G=000, B=000
       (14, 10): R=000, G=000, B=000
       (15, 10): R=000, G=000, B=253
       (16, 10): R=000, G=000, B=250
       (17, 10): R=000, G=000, B=250
       (18, 10): R=000, G=254, B=000
       (19, 10): R=000, G=253, B=000
       (20, 10): R=000, G=254, B=000
       (21, 10): R=000, G=254, B=000
       (22, 10): R=000, G=254, B=000
       (23, 10): R=000, G=254, B=000
       (24, 10): R=253, G=253, B=253
       (25, 10): R=252, G=253, B=000
       (26, 10): R=253, G=254, B=000
       (27, 10): R=254, G=000, B=000
       (28, 10): R=252, G=254, B=249
       (29, 10): R=000, G=251, B=243
       (30, 10): R=000, G=238, B=231
       (31, 10): R=000, G=214, B=207
       (32, 10): R=217, G=79, B=69
       (33, 10): R=192, G=18, B=9
       (34, 10): R=220, G=27, B=22
       (35, 10): R=232, G=23, B=18
       (36, 10): R=242, G=24, B=15
       (37, 10): R=245, G=21, B=9
       (38, 10): R=239, G=16, B=0
       (39, 10): R=246, G=24, B=3
       (40, 10): R=247, G=22, B=2
       (41, 10): R=248, G=19, B=0
       (42, 10): R=251, G=18, B=3
       (43, 10): R=252, G=19, B=5
       (44, 10): R=247, G=19, B=8
       (45, 10): R=243, G=25, B=13
       (46, 10): R=236, G=30, B=16
       (47, 10): R=226, G=28, B=15
       (48, 10): R=224, G=27, B=19
       (49, 10): R=199, G=17, B=14
       (50, 10): R=197, G=44, B=46
       (51, 10): R=000, G=166, B=167
       (52, 10): R=000, G=238, B=236
       (53, 10): R=000, G=249, B=243
       (54, 10): R=000, G=253, B=247
       (55, 10): R=252, G=253, B=248
       (56, 10): R=000, G=000, B=253
       (57, 10): R=253, G=253, B=251
       (58, 10): R=251, G=000, B=000
       (59, 10): R=246, G=252, B=252
       (60, 10): R=251, G=251, B=253
       (61, 10): R=000, G=000, B=000
       (62, 10): R=000, G=000, B=000
       (63, 10): R=254, G=000, B=000
       (64, 10): R=000, G=000, B=000
       (65, 10): R=000, G=000, B=000
       (66, 10): R=000, G=000, B=000
       (67, 10): R=000, G=000, B=000
       (68, 10): R=000, G=000, B=000
       (69, 10): R=000, G=000, B=000
       (70, 10): R=000, G=000, B=000
       (71, 10): R=000, G=000, B=000
       (72, 10): R=000, G=000, B=000
       (73, 10): R=000, G=000, B=000
       (74, 10): R=254, G=254, B=254
       (75, 10): R=000, G=000, B=000
       (76, 10): R=000, G=000, B=000
       (77, 10): R=000, G=000, B=000
       (78, 10): R=000, G=000, B=000
       (79, 10): R=224, G=224, B=224
       (80, 10): R=185, G=185, B=185
       (81, 10): R=000, G=000, B=000
       (82, 10): R=000, G=000, B=000
       (0, 11): R=000, G=000, B=000
       (1, 11): R=254, G=254, B=254
       (2, 11): R=186, G=186, B=186
       (3, 11): R=223, G=223, B=223
       (4, 11): R=000, G=000, B=000
       (5, 11): R=000, G=000, B=000
       (6, 11): R=000, G=000, B=000
       (7, 11): R=000, G=000, B=000
       (8, 11): R=000, G=000, B=000
       (9, 11): R=000, G=000, B=000
       (10, 11): R=000, G=000, B=000
       (11, 11): R=000, G=000, B=000
       (12, 11): R=000, G=000, B=000
       (13, 11): R=000, G=000, B=000
       (14, 11): R=000, G=000, B=000
       (15, 11): R=000, G=000, B=253
       (16, 11): R=000, G=000, B=251
       (17, 11): R=000, G=000, B=253
       (18, 11): R=000, G=254, B=000
       (19, 11): R=000, G=254, B=000
       (20, 11): R=000, G=254, B=000
       (21, 11): R=000, G=254, B=000
       (22, 11): R=000, G=254, B=253
       (23, 11): R=000, G=000, B=251
       (24, 11): R=254, G=000, B=253
       (25, 11): R=246, G=252, B=250
       (26, 11): R=251, G=000, B=000
       (27, 11): R=254, G=250, B=249
       (28, 11): R=000, G=247, B=243
       (29, 11): R=000, G=239, B=232
       (30, 11): R=247, G=149, B=140
       (31, 11): R=175, G=28, B=18
       (32, 11): R=218, G=22, B=10
       (33, 11): R=248, G=24, B=12
       (34, 11): R=247, G=15, B=3
       (35, 11): R=252, G=16, B=5
       (36, 11): R=000, G=17, B=5
       (37, 11): R=253, G=17, B=3
       (38, 11): R=253, G=22, B=4
       (39, 11): R=250, G=21, B=2
       (40, 11): R=248, G=21, B=2
       (41, 11): R=249, G=20, B=1
       (42, 11): R=252, G=21, B=5
       (43, 11): R=251, G=18, B=3
       (44, 11): R=247, G=14, B=0
       (45, 11): R=248, G=18, B=3
       (46, 11): R=248, G=22, B=8
       (47, 11): R=246, G=18, B=7
       (48, 11): R=253, G=16, B=10
       (49, 11): R=248, G=19, B=16
       (50, 11): R=229, G=21, B=21
       (51, 11): R=191, G=22, B=19
       (52, 11): R=204, G=89, B=84
       (53, 11): R=000, G=232, B=224
       (54, 11): R=000, G=245, B=239
       (55, 11): R=000, G=252, B=246
       (56, 11): R=000, G=251, B=248
       (57, 11): R=250, G=250, B=250
       (58, 11): R=254, G=000, B=000
       (59, 11): R=254, G=000, B=000
       (60, 11): R=254, G=252, B=253
       (61, 11): R=000, G=254, B=000
       (62, 11): R=253, G=251, B=000
       (63, 11): R=000, G=000, B=000
       (64, 11): R=000, G=000, B=000
       (65, 11): R=000, G=000, B=000
       (66, 11): R=000, G=000, B=000
       (67, 11): R=000, G=000, B=000
       (68, 11): R=000, G=000, B=000
       (69, 11): R=000, G=000, B=000
       (70, 11): R=000, G=000, B=000
       (71, 11): R=000, G=000, B=000
       (72, 11): R=000, G=000, B=000
       (73, 11): R=000, G=000, B=000
       (74, 11): R=254, G=254, B=254
       (75, 11): R=000, G=000, B=000
       (76, 11): R=000, G=000, B=000
       (77, 11): R=000, G=000, B=000
       (78, 11): R=000, G=000, B=000
       (79, 11): R=224, G=224, B=224
       (80, 11): R=185, G=185, B=185
       (81, 11): R=000, G=000, B=000
       (82, 11): R=000, G=000, B=000
       (0, 12): R=000, G=000, B=000
       (1, 12): R=254, G=254, B=254
       (2, 12): R=186, G=186, B=186
       (3, 12): R=223, G=223, B=223
       (4, 12): R=000, G=000, B=000
       (5, 12): R=000, G=000, B=000
       (6, 12): R=000, G=000, B=000
       (7, 12): R=000, G=000, B=000
       (8, 12): R=000, G=000, B=000
       (9, 12): R=000, G=000, B=000
       (10, 12): R=000, G=000, B=000
       (11, 12): R=000, G=000, B=000
       (12, 12): R=000, G=000, B=000
       (13, 12): R=000, G=000, B=000
       (14, 12): R=000, G=000, B=000
       (15, 12): R=000, G=000, B=000
       (16, 12): R=254, G=000, B=000
       (17, 12): R=252, G=000, B=000
       (18, 12): R=252, G=000, B=000
       (19, 12): R=252, G=000, B=000
       (20, 12): R=000, G=254, B=000
       (21, 12): R=000, G=254, B=253
       (22, 12): R=000, G=000, B=251
       (23, 12): R=254, G=000, B=251
       (24, 12): R=250, G=000, B=251
       (25, 12): R=250, G=000, B=252
       (26, 12): R=249, G=000, B=253
       (27, 12): R=000, G=251, B=244
       (28, 12): R=000, G=233, B=230
       (29, 12): R=214, G=89, B=87
       (30, 12): R=191, G=16, B=11
       (31, 12): R=234, G=27, B=19
       (32, 12): R=238, G=21, B=6
       (33, 12): R=245, G=22, B=4
       (34, 12): R=245, G=18, B=1
       (35, 12): R=251, G=21, B=5
       (36, 12): R=250, G=18, B=4
       (37, 12): R=254, G=24, B=9
       (38, 12): R=248, G=18, B=3
       (39, 12): R=248, G=21, B=5
       (40, 12): R=249, G=21, B=8
       (41, 12): R=249, G=21, B=8
       (42, 12): R=250, G=20, B=7
       (43, 12): R=250, G=20, B=7
       (44, 12): R=252, G=20, B=8
       (45, 12): R=253, G=21, B=9
       (46, 12): R=252, G=20, B=8
       (47, 12): R=253, G=21, B=11
       (48, 12): R=249, G=16, B=9
       (49, 12): R=251, G=23, B=14
       (50, 12): R=238, G=21, B=6
       (51, 12): R=230, G=25, B=8
       (52, 12): R=215, G=24, B=14
       (53, 12): R=190, G=41, B=34
       (54, 12): R=000, G=210, B=202
       (55, 12): R=000, G=241, B=235
       (56, 12): R=000, G=251, B=251
       (57, 12): R=000, G=254, B=000
       (58, 12): R=248, G=248, B=248
       (59, 12): R=000, G=000, B=253
       (60, 12): R=000, G=254, B=253
       (61, 12): R=000, G=250, B=250
       (62, 12): R=000, G=253, B=000
       (63, 12): R=252, G=252, B=254
       (64, 12): R=000, G=000, B=000
       (65, 12): R=000, G=000, B=000
       (66, 12): R=000, G=000, B=000
       (67, 12): R=000, G=000, B=000
       (68, 12): R=000, G=000, B=000
       (69, 12): R=000, G=000, B=000
       (70, 12): R=000, G=000, B=000
       (71, 12): R=000, G=000, B=000
       (72, 12): R=000, G=000, B=000
       (73, 12): R=000, G=000, B=000
       (74, 12): R=254, G=254, B=254
       (75, 12): R=000, G=000, B=000
       (76, 12): R=000, G=000, B=000
       (77, 12): R=000, G=000, B=000
       (78, 12): R=000, G=000, B=000
       (79, 12): R=224, G=224, B=224
       (80, 12): R=185, G=185, B=185
       (81, 12): R=000, G=000, B=000
       (82, 12): R=000, G=000, B=000
       (0, 13): R=000, G=000, B=000
       (1, 13): R=254, G=254, B=254
       (2, 13): R=186, G=186, B=186
       (3, 13): R=223, G=223, B=223
       (4, 13): R=000, G=000, B=000
       (5, 13): R=000, G=000, B=000
       (6, 13): R=000, G=000, B=000
       (7, 13): R=000, G=000, B=000
       (8, 13): R=000, G=000, B=000
       (9, 13): R=000, G=000, B=000
       (10, 13): R=000, G=000, B=000
       (11, 13): R=000, G=000, B=000
       (12, 13): R=000, G=000, B=000
       (13, 13): R=000, G=000, B=000
       (14, 13): R=000, G=000, B=000
       (15, 13): R=000, G=000, B=000
       (16, 13): R=254, G=000, B=000
       (17, 13): R=254, G=000, B=000
       (18, 13): R=251, G=000, B=000
       (19, 13): R=252, G=000, B=000
       (20, 13): R=000, G=254, B=253
       (21, 13): R=000, G=254, B=253
       (22, 13): R=254, G=000, B=253
       (23, 13): R=252, G=000, B=253
       (24, 13): R=250, G=000, B=251
       (25, 13): R=000, G=000, B=250
       (26, 13): R=000, G=247, B=237
       (27, 13): R=000, G=237, B=229
       (28, 13): R=197, G=72, B=68
       (29, 13): R=198, G=18, B=17
       (30, 13): R=243, G=24, B=20
       (31, 13): R=250, G=16, B=5
       (32, 13): R=250, G=23, B=6
       (33, 13): R=248, G=23, B=1
       (34, 13): R=246, G=19, B=0
       (35, 13): R=252, G=25, B=6
       (36, 13): R=250, G=23, B=6
       (37, 13): R=246, G=16, B=0
       (38, 13): R=250, G=20, B=5
       (39, 13): R=252, G=22, B=7
       (40, 13): R=249, G=19, B=4
       (41, 13): R=249, G=22, B=6
       (42, 13): R=248, G=20, B=7
       (43, 13): R=248, G=21, B=5
       (44, 13): R=251, G=21, B=6
       (45, 13): R=249, G=18, B=2
       (46, 13): R=247, G=14, B=0
       (47, 13): R=251, G=18, B=4
       (48, 13): R=254, G=22, B=10
       (49, 13): R=245, G=15, B=0
       (50, 13): R=250, G=21, B=0
       (51, 13): R=249, G=22, B=3
       (52, 13): R=244, G=16, B=3
       (53, 13): R=223, G=25, B=16
       (54, 13): R=170, G=31, B=24
       (55, 13): R=000, G=202, B=196
       (56, 13): R=000, G=245, B=240
       (57, 13): R=000, G=247, B=244
       (58, 13): R=000, G=254, B=253
       (59, 13): R=000, G=254, B=000
       (60, 13): R=000, G=253, B=253
       (61, 13): R=000, G=253, B=252
       (62, 13): R=000, G=000, B=000
       (63, 13): R=254, G=000, B=000
       (64, 13): R=000, G=000, B=000
       (65, 13): R=000, G=000, B=000
       (66, 13): R=000, G=000, B=000
       (67, 13): R=000, G=000, B=000
       (68, 13): R=000, G=000, B=000
       (69, 13): R=000, G=000, B=000
       (70, 13): R=000, G=000, B=000
       (71, 13): R=000, G=000, B=000
       (72, 13): R=000, G=000, B=000
       (73, 13): R=000, G=000, B=000
       (74, 13): R=254, G=254, B=254
       (75, 13): R=000, G=000, B=000
       (76, 13): R=000, G=000, B=000
       (77, 13): R=000, G=000, B=000
       (78, 13): R=000, G=000, B=000
       (79, 13): R=224, G=224, B=224
       (80, 13): R=185, G=185, B=185
       (81, 13): R=000, G=000, B=000
       (82, 13): R=000, G=000, B=000
       (0, 14): R=000, G=000, B=000
       (1, 14): R=254, G=254, B=254
       (2, 14): R=186, G=186, B=186
       (3, 14): R=223, G=223, B=223
       (4, 14): R=000, G=000, B=000
       (5, 14): R=000, G=000, B=000
       (6, 14): R=000, G=000, B=000
       (7, 14): R=000, G=000, B=000
       (8, 14): R=000, G=000, B=000
       (9, 14): R=000, G=000, B=000
       (10, 14): R=000, G=000, B=000
       (11, 14): R=000, G=000, B=000
       (12, 14): R=000, G=000, B=000
       (13, 14): R=000, G=000, B=000
       (14, 14): R=000, G=000, B=000
       (15, 14): R=000, G=000, B=000
       (16, 14): R=000, G=254, B=000
       (17, 14): R=000, G=254, B=000
       (18, 14): R=000, G=000, B=253
       (19, 14): R=000, G=000, B=253
       (20, 14): R=000, G=253, B=000
       (21, 14): R=000, G=252, B=000
       (22, 14): R=254, G=000, B=000
       (23, 14): R=251, G=000, B=000
       (24, 14): R=248, G=254, B=250
       (25, 14): R=000, G=248, B=239
       (26, 14): R=000, G=234, B=225
       (27, 14): R=209, G=80, B=74
       (28, 14): R=200, G=17, B=11
       (29, 14): R=247, G=30, B=23
       (30, 14): R=246, G=20, B=8
       (31, 14): R=250, G=20, B=5
       (32, 14): R=247, G=18, B=0
       (33, 14): R=249, G=20, B=1
       (34, 14): R=247, G=20, B=1
       (35, 14): R=248, G=21, B=2
       (36, 14): R=251, G=22, B=3
       (37, 14): R=250, G=19, B=1
       (38, 14): R=000, G=24, B=4
       (39, 14): R=247, G=15, B=0
       (40, 14): R=253, G=21, B=1
       (41, 14): R=250, G=19, B=0
       (42, 14): R=247, G=18, B=0
       (43, 14): R=246, G=20, B=0
       (44, 14): R=252, G=23, B=2
       (45, 14): R=254, G=24, B=1
       (46, 14): R=000, G=21, B=2
       (47, 14): R=000, G=20, B=1
       (48, 14): R=249, G=18, B=0
       (49, 14): R=251, G=20, B=0
       (50, 14): R=000, G=21, B=4
       (51, 14): R=251, G=15, B=1
       (52, 14): R=250, G=20, B=7
       (53, 14): R=242, G=21, B=12
       (54, 14): R=222, G=19, B=15
       (55, 14): R=181, G=28, B=22
       (56, 14): R=000, G=222, B=206
       (57, 14): R=000, G=252, B=236
       (58, 14): R=000, G=250, B=248
       (59, 14): R=000, G=250, B=254
       (60, 14): R=000, G=250, B=000
       (61, 14): R=254, G=252, B=000
       (62, 14): R=249, G=254, B=248
       (63, 14): R=248, G=253, B=247
       (64, 14): R=254, G=000, B=253
       (65, 14): R=000, G=000, B=000
       (66, 14): R=000, G=000, B=000
       (67, 14): R=000, G=000, B=000
       (68, 14): R=000, G=000, B=000
       (69, 14): R=000, G=000, B=000
       (70, 14): R=000, G=000, B=000
       (71, 14): R=000, G=000, B=000
       (72, 14): R=000, G=000, B=000
       (73, 14): R=000, G=000, B=000
       (74, 14): R=254, G=254, B=254
       (75, 14): R=000, G=000, B=000
       (76, 14): R=000, G=000, B=000
       (77, 14): R=000, G=000, B=000
       (78, 14): R=000, G=000, B=000
       (79, 14): R=224, G=224, B=224
       (80, 14): R=185, G=185, B=185
       (81, 14): R=000, G=000, B=000
       (82, 14): R=000, G=000, B=000
       (0, 15): R=000, G=000, B=000
       (1, 15): R=254, G=254, B=254
       (2, 15): R=186, G=186, B=186
       (3, 15): R=223, G=223, B=223
       (4, 15): R=000, G=000, B=000
       (5, 15): R=000, G=000, B=000
       (6, 15): R=000, G=000, B=000
       (7, 15): R=000, G=000, B=000
       (8, 15): R=000, G=000, B=000
       (9, 15): R=000, G=000, B=000
       (10, 15): R=000, G=000, B=000
       (11, 15): R=000, G=000, B=000
       (12, 15): R=000, G=000, B=000
       (13, 15): R=000, G=000, B=000
       (14, 15): R=000, G=000, B=000
       (15, 15): R=000, G=000, B=000
       (16, 15): R=000, G=254, B=000
       (17, 15): R=000, G=254, B=000
       (18, 15): R=000, G=254, B=000
       (19, 15): R=000, G=253, B=000
       (20, 15): R=000, G=253, B=000
       (21, 15): R=000, G=253, B=000
       (22, 15): R=254, G=000, B=000
       (23, 15): R=254, G=000, B=000
       (24, 15): R=000, G=254, B=248
       (25, 15): R=000, G=242, B=232
       (26, 15): R=230, G=108, B=97
       (27, 15): R=203, G=22, B=13
       (28, 15): R=244, G=26, B=17
       (29, 15): R=252, G=16, B=5
       (30, 15): R=246, G=16, B=0
       (31, 15): R=250, G=23, B=4
       (32, 15): R=252, G=21, B=3
       (33, 15): R=250, G=19, B=1
       (34, 15): R=254, G=25, B=6
       (35, 15): R=249, G=20, B=1
       (36, 15): R=250, G=19, B=0
       (37, 15): R=254, G=22, B=2
       (38, 15): R=251, G=16, B=0
       (39, 15): R=000, G=22, B=1
       (40, 15): R=253, G=18, B=0
       (41, 15): R=252, G=20, B=0
       (42, 15): R=253, G=24, B=3
       (43, 15): R=252, G=23, B=0
       (44, 15): R=248, G=19, B=0
       (45, 15): R=250, G=20, B=0
       (46, 15): R=000, G=20, B=0
       (47, 15): R=250, G=18, B=0
       (48, 15): R=251, G=21, B=0
       (49, 15): R=000, G=26, B=3
       (50, 15): R=249, G=12, B=0
       (51, 15): R=000, G=17, B=4
       (52, 15): R=252, G=18, B=7
       (53, 15): R=251, G=19, B=9
       (54, 15): R=252, G=14, B=11
       (55, 15): R=223, G=26, B=17
       (56, 15): R=174, G=57, B=37
       (57, 15): R=000, G=236, B=218
       (58, 15): R=000, G=247, B=242
       (59, 15): R=000, G=252, B=000
       (60, 15): R=000, G=252, B=000
       (61, 15): R=251, G=251, B=251
       (62, 15): R=252, G=000, B=253
       (63, 15): R=251, G=000, B=251
       (64, 15): R=254, G=000, B=253
       (65, 15): R=000, G=000, B=000
       (66, 15): R=000, G=000, B=000
       (67, 15): R=000, G=000, B=000
       (68, 15): R=000, G=000, B=000
       (69, 15): R=000, G=000, B=000
       (70, 15): R=000, G=000, B=000
       (71, 15): R=000, G=000, B=000
       (72, 15): R=000, G=000, B=000
       (73, 15): R=000, G=000, B=000
       (74, 15): R=254, G=254, B=254
       (75, 15): R=000, G=000, B=000
       (76, 15): R=000, G=000, B=000
       (77, 15): R=000, G=000, B=000
       (78, 15): R=000, G=000, B=000
       (79, 15): R=224, G=224, B=224
       (80, 15): R=185, G=185, B=185
       (81, 15): R=000, G=000, B=000
       (82, 15): R=000, G=000, B=000
       (0, 16): R=000, G=000, B=000
       (1, 16): R=254, G=254, B=254
       (2, 16): R=186, G=186, B=186
       (3, 16): R=223, G=223, B=223
       (4, 16): R=000, G=000, B=000
       (5, 16): R=000, G=000, B=000
       (6, 16): R=000, G=000, B=000
       (7, 16): R=000, G=000, B=000
       (8, 16): R=000, G=000, B=000
       (9, 16): R=000, G=000, B=000
       (10, 16): R=000, G=000, B=000
       (11, 16): R=000, G=000, B=000
       (12, 16): R=000, G=000, B=000
       (13, 16): R=000, G=000, B=000
       (14, 16): R=000, G=000, B=000
       (15, 16): R=254, G=000, B=000
       (16, 16): R=252, G=000, B=000
       (17, 16): R=253, G=254, B=000
       (18, 16): R=000, G=253, B=000
       (19, 16): R=000, G=250, B=000
       (20, 16): R=000, G=253, B=000
       (21, 16): R=000, G=000, B=000
       (22, 16): R=251, G=000, B=252
       (23, 16): R=000, G=254, B=248
       (24, 16): R=000, G=243, B=233
       (25, 16): R=000, G=191, B=179
       (26, 16): R=185, G=22, B=7
       (27, 16): R=236, G=23, B=9
       (28, 16): R=254, G=22, B=10
       (29, 16): R=000, G=18, B=5
       (30, 16): R=253, G=22, B=2
       (31, 16): R=244, G=18, B=0
       (32, 16): R=251, G=20, B=2
       (33, 16): R=251, G=20, B=2
       (34, 16): R=251, G=20, B=2
       (35, 16): R=251, G=20, B=2
       (36, 16): R=251, G=20, B=2
       (37, 16): R=251, G=20, B=2
       (38, 16): R=252, G=19, B=2
       (39, 16): R=252, G=20, B=0
       (40, 16): R=252, G=19, B=2
       (41, 16): R=251, G=20, B=0
       (42, 16): R=251, G=20, B=2
       (43, 16): R=251, G=20, B=0
       (44, 16): R=251, G=20, B=0
       (45, 16): R=251, G=20, B=0
       (46, 16): R=252, G=20, B=0
       (47, 16): R=251, G=20, B=0
       (48, 16): R=250, G=21, B=0
       (49, 16): R=251, G=20, B=0
       (50, 16): R=252, G=19, B=2
       (51, 16): R=254, G=18, B=4
       (52, 16): R=254, G=18, B=7
       (53, 16): R=254, G=18, B=7
       (54, 16): R=253, G=17, B=4
       (55, 16): R=240, G=23, B=8
       (56, 16): R=208, G=21, B=4
       (57, 16): R=230, G=100, B=86
       (58, 16): R=000, G=241, B=235
       (59, 16): R=000, G=253, B=249
       (60, 16): R=254, G=251, B=246
       (61, 16): R=254, G=000, B=250
       (62, 16): R=252, G=000, B=000
       (63, 16): R=252, G=000, B=000
       (64, 16): R=254, G=000, B=000
       (65, 16): R=000, G=000, B=000
       (66, 16): R=000, G=000, B=000
       (67, 16): R=000, G=000, B=000
       (68, 16): R=000, G=000, B=000
       (69, 16): R=000, G=000, B=000
       (70, 16): R=000, G=000, B=000
       (71, 16): R=000, G=000, B=000
       (72, 16): R=000, G=000, B=000
       (73, 16): R=000, G=000, B=000
       (74, 16): R=254, G=254, B=254
       (75, 16): R=000, G=000, B=000
       (76, 16): R=000, G=000, B=000
       (77, 16): R=000, G=000, B=000
       (78, 16): R=000, G=000, B=000
       (79, 16): R=224, G=224, B=224
       (80, 16): R=185, G=185, B=185
       (81, 16): R=000, G=000, B=000
       (82, 16): R=000, G=000, B=000
       (0, 17): R=000, G=000, B=000
       (1, 17): R=254, G=254, B=254
       (2, 17): R=186, G=186, B=186
       (3, 17): R=223, G=223, B=223
       (4, 17): R=000, G=000, B=000
       (5, 17): R=000, G=000, B=000
       (6, 17): R=000, G=000, B=000
       (7, 17): R=000, G=000, B=000
       (8, 17): R=000, G=000, B=000
       (9, 17): R=000, G=000, B=000
       (10, 17): R=000, G=000, B=000
       (11, 17): R=000, G=000, B=000
       (12, 17): R=000, G=000, B=000
       (13, 17): R=000, G=000, B=000
       (14, 17): R=000, G=000, B=000
       (15, 17): R=254, G=000, B=000
       (16, 17): R=252, G=000, B=000
       (17, 17): R=251, G=253, B=252
       (18, 17): R=000, G=252, B=000
       (19, 17): R=000, G=251, B=000
       (20, 17): R=253, G=253, B=000
       (21, 17): R=252, G=000, B=253
       (22, 17): R=251, G=000, B=250
       (23, 17): R=000, G=249, B=239
       (24, 17): R=000, G=236, B=228
       (25, 17): R=170, G=43, B=34
       (26, 17): R=227, G=31, B=17
       (27, 17): R=250, G=19, B=3
       (28, 17): R=251, G=13, B=0
       (29, 17): R=252, G=15, B=0
       (30, 17): R=249, G=19, B=0
       (31, 17): R=254, G=25, B=2
       (32, 17): R=251, G=20, B=0
       (33, 17): R=251, G=20, B=2
       (34, 17): R=251, G=20, B=2
       (35, 17): R=251, G=20, B=2
       (36, 17): R=251, G=20, B=2
       (37, 17): R=251, G=20, B=2
       (38, 17): R=251, G=20, B=2
       (39, 17): R=251, G=20, B=2
       (40, 17): R=251, G=20, B=2
       (41, 17): R=251, G=20, B=2
       (42, 17): R=251, G=20, B=2
       (43, 17): R=251, G=20, B=2
       (44, 17): R=251, G=20, B=2
       (45, 17): R=251, G=20, B=2
       (46, 17): R=251, G=20, B=2
       (47, 17): R=251, G=20, B=2
       (48, 17): R=250, G=21, B=0
       (49, 17): R=251, G=20, B=0
       (50, 17): R=252, G=19, B=2
       (51, 17): R=252, G=19, B=4
       (52, 17): R=254, G=18, B=5
       (53, 17): R=254, G=18, B=5
       (54, 17): R=252, G=19, B=4
       (55, 17): R=249, G=19, B=3
       (56, 17): R=247, G=21, B=7
       (57, 17): R=194, G=20, B=9
