      [(0, 0): R=000, G=000, B=000
       (2, 2): R=191, G=191, B=191
       (3, 2): R=127, G=127, B=127
       (4, 2): R=160, G=160, B=160
       (5, 2): R=152, G=152, B=152
       (6, 2): R=155, G=155, B=155
       (7, 2): R=154, G=154, B=154
       (8, 2): R=154, G=154, B=154
       (9, 2): R=154, G=154, B=154
       (10, 2): R=154, G=154, B=154
       (11, 2): R=154, G=154, B=154
       (12, 2): R=154, G=154, B=154
       (13, 2): R=154, G=154, B=154
       (14, 2): R=154, G=154, B=154
       (15, 2): R=154, G=154, B=152
       (16, 2): R=153, G=155, B=150
       (17, 2): R=154, G=154, B=152
       (18, 2): R=158, G=152, B=156
       (19, 2): R=158, G=151, B=158
       (20, 2): R=153, G=154, B=158
       (21, 2): R=150, G=155, B=158
       (22, 2): R=151, G=155, B=156
       (23, 2): R=153, G=155, B=154
       (24, 2): R=154, G=154, B=152
       (25, 2): R=154, G=154, B=152
       (26, 2): R=150, G=156, B=152
       (27, 2): R=148, G=157, B=152
       (28, 2): R=150, G=156, B=154
       (29, 2): R=153, G=155, B=154
       (30, 2): R=155, G=153, B=154
       (31, 2): R=157, G=153, B=152
       (32, 2): R=154, G=154, B=152
       (33, 2): R=154, G=154, B=152
       (34, 2): R=155, G=153, B=154
       (35, 2): R=157, G=153, B=154
       (36, 2): R=158, G=152, B=154
       (37, 2): R=157, G=153, B=154
       (38, 2): R=155, G=153, B=154
       (39, 2): R=154, G=154, B=156
       (40, 2): R=153, G=154, B=156
       (41, 2): R=151, G=155, B=156
       (42, 2): R=153, G=154, B=156
       (43, 2): R=153, G=154, B=156
       (44, 2): R=153, G=154, B=156
       (45, 2): R=153, G=154, B=156
       (46, 2): R=151, G=155, B=156
       (47, 2): R=153, G=154, B=156
       (48, 2): R=154, G=154, B=156
       (49, 2): R=154, G=154, B=156
       (50, 2): R=151, G=156, B=152
       (51, 2): R=150, G=157, B=149
       (52, 2): R=150, G=158, B=147
       (53, 2): R=150, G=157, B=149
       (54, 2): R=153, G=155, B=152
       (55, 2): R=154, G=154, B=154
       (56, 2): R=157, G=152, B=158
       (57, 2): R=155, G=152, B=159
       (58, 2): R=153, G=154, B=158
       (59, 2): R=153, G=154, B=158
       (60, 2): R=155, G=153, B=156
       (61, 2): R=155, G=153, B=154
       (62, 2): R=154, G=154, B=152
       (63, 2): R=154, G=154, B=152
       (64, 2): R=154, G=154, B=154
       (65, 2): R=154, G=154, B=154
       (66, 2): R=154, G=154, B=154
       (67, 2): R=154, G=154, B=154
       (68, 2): R=154, G=154, B=154
       (69, 2): R=154, G=154, B=154
       (70, 2): R=154, G=154, B=154
       (71, 2): R=154, G=154, B=154
       (72, 2): R=154, G=154, B=154
       (73, 2): R=153, G=153, B=153
       (74, 2): R=154, G=154, B=154
       (75, 2): R=153, G=153, B=153
       (76, 2): R=155, G=155, B=155
       (77, 2): R=154, G=154, B=154
       (78, 2): R=153, G=153, B=153
       (79, 2): R=136, G=136, B=136
       (80, 2): R=197, G=197, B=197
       (81, 2): R=252, G=252, B=252
       (82, 2): R=000, G=000, B=000
       (0, 3): R=000, G=000, B=000
       (1, 3): R=254, G=254, B=254
       (2, 3): R=185, G=185, B=185
       (3, 3): R=233, G=233, B=233
       (4, 3): R=000, G=000, B=000
       (5, 3): R=000, G=000, B=000
       (6, 3): R=254, G=254, B=254
       (7, 3): R=254, G=254, B=254
       (8, 3): R=000, G=000, B=000
       (9, 3): R=000, G=000, B=000
       (10, 3): R=000, G=000, B=000
       (11, 3): R=000, G=000, B=000
       (12, 3): R=000, G=000, B=000
       (13, 3): R=000, G=000, B=000
       (14, 3): R=000, G=000, B=000
       (15, 3): R=000, G=000, B=000
       (16, 3): R=000, G=000, B=000
       (17, 3): R=000, G=254, B=000
       (18, 3): R=000, G=252, B=000
       (19, 3): R=000, G=253, B=000
       (20, 3): R=254, G=000, B=000
       (21, 3): R=251, G=000, B=000
       (22, 3): R=252, G=000, B=000
       (23, 3): R=252, G=000, B=253
       (24, 3): R=254, G=000, B=253
       (25, 3): R=254, G=000, B=253
       (26, 3): R=252, G=000, B=253
       (27, 3): R=251, G=000, B=253
       (28, 3): R=249, G=000, B=000
       (29, 3): R=251, G=000, B=253
       (30, 3): R=000, G=000, B=253
       (31, 3): R=000, G=000, B=251
       (32, 3): R=254, G=000, B=253
       (33, 3): R=254, G=000, B=253
       (34, 3): R=000, G=000, B=253
       (35, 3): R=000, G=254, B=253
       (36, 3): R=000, G=253, B=000
       (37, 3): R=000, G=254, B=000
       (38, 3): R=000, G=254, B=000
       (39, 3): R=254, G=000, B=000
       (40, 3): R=252, G=000, B=000
       (41, 3): R=252, G=000, B=000
       (42, 3): R=254, G=000, B=000
       (43, 3): R=000, G=000, B=000
       (44, 3): R=000, G=000, B=000
       (45, 3): R=254, G=000, B=000
       (46, 3): R=254, G=000, B=000
       (47, 3): R=252, G=000, B=000
       (48, 3): R=254, G=000, B=000
       (49, 3): R=254, G=000, B=000
       (50, 3): R=251, G=000, B=251
       (51, 3): R=249, G=000, B=250
       (52, 3): R=249, G=000, B=248
       (53, 3): R=252, G=000, B=250
       (54, 3): R=000, G=000, B=253
       (55, 3): R=000, G=253, B=000
       (56, 3): R=000, G=252, B=000
       (57, 3): R=000, G=252, B=000
       (58, 3): R=252, G=000, B=000
       (59, 3): R=252, G=000, B=000
       (60, 3): R=000, G=254, B=000
       (61, 3): R=000, G=254, B=000
       (62, 3): R=000, G=254, B=000
       (63, 3): R=000, G=000, B=000
       (64, 3): R=000, G=000, B=000
       (65, 3): R=000, G=000, B=000
       (66, 3): R=000, G=000, B=000
       (67, 3): R=000, G=000, B=000
       (68, 3): R=000, G=000, B=000
       (69, 3): R=000, G=000, B=000
       (70, 3): R=000, G=000, B=000
       (71, 3): R=000, G=000, B=000
       (72, 3): R=000, G=000, B=000
       (73, 3): R=253, G=253, B=253
       (74, 3): R=000, G=000, B=000
       (75, 3): R=000, G=000, B=000
       (76, 3): R=000, G=000, B=000
       (77, 3): R=000, G=000, B=000
       (78, 3): R=254, G=254, B=254
       (79, 3): R=228, G=228, B=228
       (80, 3): R=180, G=180, B=180
       (81, 3): R=000, G=000, B=000
       (82, 3): R=000, G=000, B=000
       (0, 4): R=253, G=253, B=253
       (1, 4): R=000, G=000, B=000
       (2, 4): R=181, G=181, B=181
       (3, 4): R=223, G=223, B=223
       (4, 4): R=000, G=000, B=000
       (5, 4): R=253, G=253, B=253
       (6, 4): R=000, G=000, B=000
       (7, 4): R=000, G=000, B=000
       (8, 4): R=000, G=000, B=000
       (9, 4): R=000, G=000, B=000
       (10, 4): R=000, G=000, B=000
       (11, 4): R=000, G=000, B=000
       (12, 4): R=000, G=000, B=000
       (13, 4): R=000, G=000, B=000
       (14, 4): R=000, G=000, B=000
       (15, 4): R=000, G=000, B=000
       (16, 4): R=000, G=254, B=000
       (17, 4): R=000, G=253, B=000
       (18, 4): R=000, G=253, B=000
       (19, 4): R=000, G=252, B=000
       (20, 4): R=000, G=254, B=253
       (21, 4): R=000, G=000, B=251
       (22, 4): R=254, G=000, B=253
       (23, 4): R=252, G=000, B=253
       (24, 4): R=251, G=000, B=000
       (25, 4): R=252, G=000, B=000
       (26, 4): R=000, G=254, B=000
